City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Jalingo,NG,2020-04-15 22:48:39,8.88,11.37,88.45,41,0,2.59
178,Pangnirtung,CA,2020-04-15 22:48:40,66.15,-65.71,17.6,85,90,10.29
179,Ponta Do Sol,PT,2020-04-15 22:48:40,32.67,-17.1,60.8,67,40,3.36
180,Channel-Port Aux Basques,CA,2020-04-15 22:48:40,47.57,-59.14,33.49,96,100,3.31
181,Carnarvon,AU,2020-04-15 22:48:40,-24.87,113.63,75.2,53,90,12.75
182,Talnakh,RU,2020-04-15 22:47:42,69.49,88.4,14.0,51,0,13.42
183,Ahuimanu,US,2020-04-15 22:48:41,21.44,-157.84,82.4,61,40,10.29
184,Nanhai,CN,2020-04-15 22:48:41,30.13,111.78,64.99,77,0,6.51
185,Tambura,SS,2020-04-15 22:48:41,5.6,27.47,72.59,44,32,0.72
186,Hasaki,JP,2020-04-15 22:48:41,35.73,140.83,52.0,71,75,18.34
187,Cabras,IT,2020-04-15 22:48:42,39.93,8.53,51.96,53,36,9.1
188,Gazli,UZ,2020-04-15 22:48:42,40.13,63.45,54.05,39,5,8.48
189,Abu Kamal,SY,2020-04-15 22:48:42,34.45,40.92,68.58,25,50,5.82
190,Tukrah,LY,2020-04-15 22:48:42,32.53,20.58,59.25,84,44,13.27
191,Quelimane,MZ,2020-04-15 22:48:13,-17.88,36.89,75.9,95,3,4.41
192,Aswan,EG,2020-04-15 22:48:43,24.09,32.91,65.41,37,0,0.74
193,El Vendrell,ES,2020-04-15 22:48:43,41.22,1.53,61.0,93,90,3.36
194,Tharad,IN,2020-04-15 22:48:43,24.4,71.63,77.83,62,11,5.5
195,Namatanai,PG,2020-04-15 22:48:44,-3.67,152.43,82.94,71,99,3.76
196,Nikolskoye,RU,2020-04-15 22:48:44,59.7,30.79,30.2,92,20,4.47
197,Baculin,PH,2020-04-15 22:48:44,7.45,126.58,84.67,66,38,4.92
198,Port Hardy,CA,2020-04-15 22:48:44,50.7,-127.42,55.4,71,20,5.82
199,Vanderhoof,CA,2020-04-15 22:48:44,54.02,-124.02,49.77,48,9,1.77
200,Sola,VU,2020-04-15 22:48:45,-13.88,167.55,77.0,94,90,14.5
201,Santa Vitoria,BR,2020-04-15 22:48:45,-18.84,-50.12,67.3,78,96,5.35
202,Piranshahr,IR,2020-04-15 22:48:45,36.7,45.14,40.53,37,0,6.02
203,Xining,CN,2020-04-15 22:48:45,36.62,101.77,45.03,22,22,2.1
204,Kaga,JP,2020-04-15 22:48:46,36.3,136.31,50.0,71,75,5.82
205,Flinders,AU,2020-04-15 22:48:46,-34.58,150.86,77.0,46,100,14.99
206,Zhicheng,CN,2020-04-15 22:48:46,30.3,111.5,64.99,77,0,1.81
207,Chimore,BO,2020-04-15 22:48:46,-16.98,-65.13,69.85,65,85,1.99
208,Hobyo,SO,2020-04-15 22:48:47,5.35,48.53,83.61,78,53,9.91
209,Luderitz,NA,2020-04-15 22:47:36,-26.65,15.16,57.2,82,0,14.99
210,Shenjiamen,CN,2020-04-15 22:48:47,29.96,122.3,60.04,79,33,15.68
211,Praia,CV,2020-04-15 22:48:47,14.92,-23.51,73.4,69,20,13.87
212,Benguela,AO,2020-04-15 22:48:47,-12.58,13.41,78.04,83,45,1.52
213,Motema,SL,2020-04-15 22:48:48,8.6,-11.03,74.53,74,53,0.87
