City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
115,Kashan,IR,2020-04-20 00:15:09,33.98,51.44,66.02,36,30,2.28,scattered clouds,0.0,0.0
116,Villazon,BO,2020-04-20 00:15:09,-22.09,-65.59,52.56,19,62,8.57,broken clouds,0.0,0.0
117,Marfino,RU,2020-04-20 00:15:09,55.7,37.38,33.8,86,19,4.47,few clouds,0.0,0.0
118,Monrovia,LR,2020-04-20 00:15:10,6.3,-10.8,80.6,94,40,4.88,scattered clouds,0.0,0.0
119,Alofi,NU,2020-04-20 00:15:10,-19.06,-169.92,86.0,70,33,13.87,scattered clouds,0.0,0.0
120,Cap Malheureux,MU,2020-04-20 00:15:10,-19.98,57.61,75.2,88,40,11.41,scattered clouds,0.0,0.0
121,Rodrigues Alves,BR,2020-04-20 00:15:10,-7.74,-72.65,72.68,61,0,1.52,clear sky,0.0,0.0
122,Eyrarbakki,IS,2020-04-20 00:15:11,63.86,-21.15,46.4,93,90,24.16,light intensity drizzle,0.0,0.0
123,Vaini,TO,2020-04-20 00:15:11,-21.2,-175.2,84.2,74,40,8.05,scattered clouds,0.0,0.0
124,New Norfolk,AU,2020-04-20 00:15:11,-42.78,147.06,57.0,91,100,7.74,light rain,0.0,0.0
125,Paragominas,BR,2020-04-20 00:15:12,-2.97,-47.48,73.99,92,88,3.04,moderate rain,4.59,0.0
126,Lata,PT,2020-04-20 00:13:44,40.16,-8.33,54.0,93,56,3.0,broken clouds,0.0,0.0
127,Tezu,IN,2020-04-20 00:15:12,27.92,96.17,65.48,71,96,3.96,light rain,2.25,0.0
128,Sebrovo,RU,2020-04-20 00:15:13,50.1,43.3,40.5,78,22,4.97,few clouds,0.0,0.0
129,Nossa Senhora Da Gloria,BR,2020-04-20 00:15:13,-10.22,-37.42,72.68,88,93,6.04,overcast clouds,0.0,0.0
130,Lagoa,PT,2020-04-20 00:15:13,39.05,-27.98,56.55,63,23,17.36,few clouds,0.0,0.0
131,Khatanga,RU,2020-04-20 00:15:14,71.97,102.5,24.04,95,34,5.41,scattered clouds,0.0,0.0
132,Bambous Virieux,MU,2020-04-20 00:15:14,-20.34,57.76,75.2,88,40,11.41,scattered clouds,0.0,0.0
133,Saint-Philippe,RE,2020-04-20 00:15:14,-21.36,55.77,75.2,83,75,19.46,broken clouds,0.0,0.0
134,Sao Miguel Do Araguaia,BR,2020-04-20 00:15:14,-13.28,-50.16,73.74,83,77,2.24,broken clouds,0.0,0.0
135,Abu Samrah,SY,2020-04-20 00:15:15,35.3,37.18,66.85,40,54,2.98,broken clouds,0.0,0.0
136,Ilhabela,BR,2020-04-20 00:15:15,-23.78,-45.36,71.91,74,37,7.85,scattered clouds,0.0,0.0
137,Talnakh,RU,2020-04-20 00:15:15,69.49,88.4,37.4,74,100,26.84,overcast clouds,0.0,0.0
138,Vila Velha,BR,2020-04-20 00:11:19,-20.33,-40.29,75.2,73,40,10.29,scattered clouds,0.0,0.0
139,Iqaluit,CA,2020-04-20 00:12:35,63.75,-68.51,1.4,70,20,8.05,few clouds,0.0,0.0
140,Caravelas,BR,2020-04-20 00:15:16,-17.71,-39.25,76.08,76,78,15.39,broken clouds,0.0,0.0
141,Atambua,ID,2020-04-20 00:15:16,-9.11,124.89,78.87,67,11,1.95,few clouds,0.0,0.0
142,Souris,CA,2020-04-20 00:15:17,49.62,-100.26,53.6,34,90,26.4,overcast clouds,0.0,0.0
143,Isangel,VU,2020-04-20 00:15:18,-19.55,169.27,82.4,83,75,5.82,broken clouds,0.0,0.0
144,Cabra,ES,2020-04-20 00:15:18,37.47,-4.44,57.2,71,21,8.05,few clouds,0.0,0.0
145,Alice Springs,AU,2020-04-20 00:15:19,-23.7,133.88,87.8,23,1,12.75,clear sky,0.0,0.0
146,Ponta Do Sol,PT,2020-04-20 00:15:19,32.67,-17.1,57.99,68,13,15.99,few clouds,0.0,0.0
147,Sumbe,AO,2020-04-20 00:15:19,-11.21,13.84,77.72,84,93,4.59,light rain,1.26,0.0
148,Kodiak,US,2020-04-20 00:15:19,57.79,-152.41,44.6,81,90,10.29,overcast clouds,0.0,0.0
149,Coquimbo,CL,2020-04-20 00:15:19,-29.95,-71.34,59.0,93,90,3.36,overcast clouds,0.0,0.0
150,Auki,SB,2020-04-20 00:15:20,-8.77,160.7,84.72,69,51,3.29,broken clouds,0.0,0.0
